,SEED,NOISE,DATASET,MODEL,ERROR
111,2314,0.0,SIMULATION_00_03,PIDNN_800,1.650606827752199e-05
112,2314,0.0,SIMULATION_00_10,FF_200,0.0005209443625062704
113,2314,0.0,SIMULATION_00_10,FF_400,9.394708467880264e-05
114,2314,0.0,SIMULATION_00_10,FF_800,0.0023426192346960306
115,2314,0.0,SIMULATION_00_10,FF_1600,1.150789739767788e-05
116,2314,0.0,SIMULATION_00_10,PIDNN_200,3.773252728933585e-06
117,2314,0.0,SIMULATION_00_10,PIDNN_400,1.920250952025526e-06
118,2314,0.0,SIMULATION_00_10,PIDNN_800,2.000434278670582e-06
119,2314,0.0,SIMULATION_10_20,FF_200,4.8462632548762485e-05
120,2314,0.0,SIMULATION_10_20,FF_400,2.4497323465766385e-05
121,2314,0.0,SIMULATION_10_20,FF_800,6.726096216880251e-06
122,2314,0.0,SIMULATION_10_20,FF_1600,5.0736471166601405e-06
123,2314,0.0,SIMULATION_10_20,PIDNN_200,2.0233838426975126e-07
124,2314,0.0,SIMULATION_10_20,PIDNN_400,1.3850257118974696e-07
125,2314,0.0,SIMULATION_10_20,PIDNN_800,1.1658590182150874e-07
126,2314,0.0,SIMULATION_00_20,FF_200,0.000343769061146304
127,2314,0.0,SIMULATION_00_20,FF_400,2.9780068871332332e-05
128,2314,0.0,SIMULATION_00_20,FF_800,1.5048593013489153e-05
129,2314,0.0,SIMULATION_00_20,FF_1600,8.167879059328698e-06
130,2314,0.0,SIMULATION_00_20,PIDNN_200,1.9421895558480173e-06
131,2314,0.0,SIMULATION_00_20,PIDNN_400,5.15148656177189e-07
132,2314,0.0,SIMULATION_00_20,PIDNN_800,4.5572292606266274e-07
133,2314,0.0,SIMULATION_00_40,FF_200,0.0010372832184657454
134,2314,0.0,SIMULATION_00_40,FF_400,8.578407869208604e-05
135,2314,0.0,SIMULATION_00_40,FF_800,9.41563121159561e-05
136,2314,0.0,SIMULATION_00_40,FF_1600,2.7123376639792696e-05
137,2314,0.0,SIMULATION_00_40,PIDNN_200,1.7469517842982896e-05
138,2314,0.0,SIMULATION_00_40,PIDNN_400,2.932065854110988e-06
139,2314,0.0,SIMULATION_00_40,PIDNN_800,1.4157787973090308e-06
140,2314,0.05,SIMULATION_00_03,FF_200,0.012063038535416126
141,2314,0.05,SIMULATION_00_03,FF_400,0.001211295137181878
142,2314,0.05,SIMULATION_00_03,FF_800,0.0010168732842430472
143,2314,0.05,SIMULATION_00_03,FF_1600,0.00034698305535130203
144,2314,0.05,SIMULATION_00_03,PIDNN_200,0.00012748914014082402
145,2314,0.05,SIMULATION_00_03,PIDNN_400,7.884421211201698e-05
146,2314,0.05,SIMULATION_00_03,PIDNN_800,4.2974268581019714e-05
147,2314,0.05,SIMULATION_00_10,FF_200,0.0021256846375763416
148,2314,0.05,SIMULATION_00_10,FF_400,0.0008738563046790659
149,2314,0.05,SIMULATION_00_10,FF_800,0.0007828380330465734
150,2314,0.05,SIMULATION_00_10,FF_1600,0.0004388091911096126
151,2314,0.05,SIMULATION_00_10,PIDNN_200,0.0001714538229862228
152,2314,0.05,SIMULATION_00_10,PIDNN_400,8.862047252478078e-05
153,2314,0.05,SIMULATION_00_10,PIDNN_800,3.0069695640122518e-05
154,2314,0.05,SIMULATION_10_20,FF_200,0.0002739030751399696
155,2314,0.05,SIMULATION_10_20,FF_400,0.00010280410788254812
156,2314,0.05,SIMULATION_10_20,FF_800,0.00027263580705039203
157,2314,0.05,SIMULATION_10_20,FF_1600,0.0011361469514667988
158,2314,0.05,SIMULATION_10_20,PIDNN_200,4.811310282093473e-05
159,2314,0.05,SIMULATION_10_20,PIDNN_400,2.55526538239792e-05
160,2314,0.05,SIMULATION_10_20,PIDNN_800,1.120126307796454e-05
161,2314,0.05,SIMULATION_00_20,FF_200,0.001134584192186594
162,2314,0.05,SIMULATION_00_20,FF_400,0.0003254919429309666
163,2314,0.05,SIMULATION_00_20,FF_800,0.00041543415863998234
164,2314,0.05,SIMULATION_00_20,FF_1600,0.00045501935528591275
165,2314,0.05,SIMULATION_00_20,PIDNN_200,0.00044284219620749354
166,2314,0.05,SIMULATION_00_20,PIDNN_400,0.00014210240624379367
167,2314,0.05,SIMULATION_00_20,PIDNN_800,4.105079278815538e-05
168,2314,0.05,SIMULATION_00_40,FF_200,0.0039910622872412205
169,2314,0.05,SIMULATION_00_40,FF_400,0.001041996292769909
170,2314,0.05,SIMULATION_00_40,FF_800,0.00034121135831810534
171,2314,0.05,SIMULATION_00_40,FF_1600,0.00022979917412158102
172,2314,0.05,SIMULATION_00_40,PIDNN_200,0.00042169165681116283
173,2314,0.05,SIMULATION_00_40,PIDNN_400,0.00014610160724259913
174,2314,0.05,SIMULATION_00_40,PIDNN_800,5.979081106488593e-05
175,2314,0.1,SIMULATION_00_03,FF_200,0.010188158601522446
176,2314,0.1,SIMULATION_00_03,FF_400,0.004796737339347601
177,2314,0.1,SIMULATION_00_03,FF_800,0.0021223449148237705
178,2314,0.1,SIMULATION_00_03,FF_1600,0.001152263954281807
179,2314,0.1,SIMULATION_00_03,PIDNN_200,0.0004919597995467484
180,2314,0.1,SIMULATION_00_03,PIDNN_400,0.0003862001176457852
181,2314,0.1,SIMULATION_00_03,PIDNN_800,0.00014858104987069964
182,2314,0.1,SIMULATION_00_10,FF_200,0.005822180770337582
183,2314,0.1,SIMULATION_00_10,FF_400,0.003936914261430502
184,2314,0.1,SIMULATION_00_10,FF_800,0.0021932758390903473
185,2314,0.1,SIMULATION_00_10,FF_1600,0.0016235817456617951
186,2314,0.1,SIMULATION_00_10,PIDNN_200,0.0010364660993218422
187,2314,0.1,SIMULATION_00_10,PIDNN_400,0.0002910593757405877
188,2314,0.1,SIMULATION_00_10,PIDNN_800,0.00010882033529924229
189,2314,0.1,SIMULATION_10_20,FF_200,0.0015299214283004403
190,2314,0.1,SIMULATION_10_20,FF_400,0.0006101119797676802
191,2314,0.1,SIMULATION_10_20,FF_800,0.00020966962620150298
192,2314,0.1,SIMULATION_10_20,FF_1600,0.00018617739260662347
193,2314,0.1,SIMULATION_10_20,PIDNN_200,0.0003304656420368701
194,2314,0.1,SIMULATION_10_20,PIDNN_400,9.724739356897771e-05
195,2314,0.1,SIMULATION_10_20,PIDNN_800,3.100059984717518e-05
196,2314,0.1,SIMULATION_00_20,FF_200,0.0057462467812001705
197,2314,0.1,SIMULATION_00_20,FF_400,0.00337031832896173
198,2314,0.1,SIMULATION_00_20,FF_800,0.0020963053684681654
199,2314,0.1,SIMULATION_00_20,FF_1600,0.0012453555827960372
200,2314,0.1,SIMULATION_00_20,PIDNN_200,0.0006561405607499182
201,2314,0.1,SIMULATION_00_20,PIDNN_400,0.0002823735121637583
202,2314,0.1,SIMULATION_00_20,PIDNN_800,0.0001584055571584031
203,2314,0.1,SIMULATION_00_40,FF_200,0.00983433797955513
204,2314,0.1,SIMULATION_00_40,FF_400,0.0032752312254160643
205,2314,0.1,SIMULATION_00_40,FF_800,0.002724789083003998
206,2314,0.1,SIMULATION_00_40,FF_1600,0.001416989485733211
207,2314,0.1,SIMULATION_00_40,PIDNN_200,0.0010791977401822805
208,2314,0.1,SIMULATION_00_40,PIDNN_400,0.0006363426800817251
209,2314,0.1,SIMULATION_00_40,PIDNN_800,0.00039153866237029433
210,4132,0.0,SIMULATION_00_03,FF_200,0.0012038374552503228
211,4132,0.0,SIMULATION_00_03,FF_400,0.00022266728046815842
212,4132,0.0,SIMULATION_00_03,FF_800,0.0002668177185114473
213,4132,0.0,SIMULATION_00_03,FF_1600,3.425967224757187e-05
214,4132,0.0,SIMULATION_00_03,PIDNN_200,2.0915415007038973e-05
215,4132,0.0,SIMULATION_00_03,PIDNN_400,1.9150165826431476e-05
216,4132,0.0,SIMULATION_00_03,PIDNN_800,2.0300734831835143e-05
217,4132,0.0,SIMULATION_00_10,FF_200,0.00014837353955954313
218,4132,0.0,SIMULATION_00_10,FF_400,0.00012800405966117978
219,4132,0.0,SIMULATION_00_10,FF_800,0.0004958102945238352
220,4132,0.0,SIMULATION_00_10,FF_1600,5.637088543153368e-05
221,4132,0.0,SIMULATION_00_10,PIDNN_200,4.265833922545426e-06
222,4132,0.0,SIMULATION_00_10,PIDNN_400,2.224398031103192e-06
223,4132,0.0,SIMULATION_00_10,PIDNN_800,1.7272758441322367e-06
224,4132,0.0,SIMULATION_10_20,FF_200,0.00017087295418605208
225,4132,0.0,SIMULATION_10_20,FF_400,1.659793997532688e-05
226,4132,0.0,SIMULATION_10_20,FF_800,1.9606071873568e-05
227,4132,0.0,SIMULATION_10_20,FF_1600,1.0423093954159413e-05
228,4132,0.0,SIMULATION_10_20,PIDNN_200,2.022803613499491e-07
229,4132,0.0,SIMULATION_10_20,PIDNN_400,2.1754080137270648e-07
230,4132,0.0,SIMULATION_10_20,PIDNN_800,2.2688338674470288e-07
231,4132,0.0,SIMULATION_00_20,FF_200,0.00016655144281685352
232,4132,0.0,SIMULATION_00_20,FF_400,0.00015239976346492767
233,4132,0.0,SIMULATION_00_20,FF_800,1.973545840883162e-05
234,4132,0.0,SIMULATION_00_20,FF_1600,1.7872218450065702e-05
235,4132,0.0,SIMULATION_00_20,PIDNN_200,1.2240698197274469e-06
236,4132,0.0,SIMULATION_00_20,PIDNN_400,4.961789841217978e-07
237,4132,0.0,SIMULATION_00_20,PIDNN_800,3.889719835115102e-07
238,4132,0.0,SIMULATION_00_40,FF_200,0.00016294282977469265
239,4132,0.0,SIMULATION_00_40,FF_400,5.1825205446220934e-05
240,4132,0.0,SIMULATION_00_40,FF_800,1.9331209841766395e-05
241,4132,0.0,SIMULATION_00_40,FF_1600,1.3049661902186926e-05
242,4132,0.0,SIMULATION_00_40,PIDNN_200,3.874485173582798e-06
243,4132,0.0,SIMULATION_00_40,PIDNN_400,2.066345359708066e-06
244,4132,0.0,SIMULATION_00_40,PIDNN_800,4.805532171303639e-06
245,4132,0.05,SIMULATION_00_03,FF_200,0.0023771394044160843
246,4132,0.05,SIMULATION_00_03,FF_400,0.000825903844088316
247,4132,0.05,SIMULATION_00_03,FF_800,0.0004403617058414966
248,4132,0.05,SIMULATION_00_03,FF_1600,0.00022957249893806875
249,4132,0.05,SIMULATION_00_03,PIDNN_200,0.00014511133485939354
250,4132,0.05,SIMULATION_00_03,PIDNN_400,5.8144254580838606e-05
251,4132,0.05,SIMULATION_00_03,PIDNN_800,4.66000747110229e-05
252,4132,0.05,SIMULATION_00_10,FF_200,0.0009056712151505053
253,4132,0.05,SIMULATION_00_10,FF_400,0.000812022655736655
254,4132,0.05,SIMULATION_00_10,FF_800,0.0008639463922008872
255,4132,0.05,SIMULATION_00_10,FF_1600,0.00020152829529251903
256,4132,0.05,SIMULATION_00_10,PIDNN_200,0.00029630097560584545
257,4132,0.05,SIMULATION_00_10,PIDNN_400,6.328355084406212e-05
258,4132,0.05,SIMULATION_00_10,PIDNN_800,4.714635360869579e-05
259,4132,0.05,SIMULATION_10_20,FF_200,0.00020016822963953018
260,4132,0.05,SIMULATION_10_20,FF_400,0.00011291720875306055
261,4132,0.05,SIMULATION_10_20,FF_800,8.68279385031201e-05
262,4132,0.05,SIMULATION_10_20,FF_1600,4.7776913561392576e-05
263,4132,0.05,SIMULATION_10_20,PIDNN_200,5.560892168432474e-05
264,4132,0.05,SIMULATION_10_20,PIDNN_400,3.059347000089474e-05
265,4132,0.05,SIMULATION_10_20,PIDNN_800,6.812722403992666e-06
266,4132,0.05,SIMULATION_00_20,FF_200,0.0008695035940036178
267,4132,0.05,SIMULATION_00_20,FF_400,0.0013631193432956934
268,4132,0.05,SIMULATION_00_20,FF_800,0.0004052518343087286
269,4132,0.05,SIMULATION_00_20,FF_1600,0.00027465273160487413
270,4132,0.05,SIMULATION_00_20,PIDNN_200,0.00018865019956137985
271,4132,0.05,SIMULATION_00_20,PIDNN_400,0.00011296133743599057
272,4132,0.05,SIMULATION_00_20,PIDNN_800,7.213779463199899e-05
273,4132,0.05,SIMULATION_00_40,FF_200,0.0007719457498751581
274,4132,0.05,SIMULATION_00_40,FF_400,0.0006421020370908082
275,4132,0.05,SIMULATION_00_40,FF_800,0.000722391763702035
276,4132,0.05,SIMULATION_00_40,FF_1600,0.0010346368653699756
277,4132,0.05,SIMULATION_00_40,PIDNN_200,0.00046506355283781886
278,4132,0.05,SIMULATION_00_40,PIDNN_400,0.0002169669751310721
279,4132,0.05,SIMULATION_00_40,PIDNN_800,0.00011021933460142463
280,4132,0.1,SIMULATION_00_03,FF_200,0.0061710611917078495
