NOISE,DATASET,MODEL,MEAN_ERR,STD_ERR
0.0,SIMULATION_00_20,FF_1600,4.760457098503442e-05,4.06235567597857e-05
0.0,SIMULATION_00_20,PIDNN_200,2.9617802738357568e-05,3.351173497551293e-05
0.0,SIMULATION_00_20,PIDNN_400,6.61416902403289e-06,7.140457952148312e-06
0.0,SIMULATION_00_20,PIDNN_800,3.5316782032168703e-06,1.8450982016259777e-06
0.0,SIMULATION_00_40,FF_200,0.00020297226698553984,0.00033814828608301435
0.0,SIMULATION_00_40,FF_400,0.00010056646109052439,6.320264597684383e-05
0.0,SIMULATION_00_40,FF_800,2.9097038350300863e-05,1.5325701486226132e-05
0.0,SIMULATION_00_40,FF_1600,8.811503751831608e-05,0.00012997503730857062
0.0,SIMULATION_00_40,PIDNN_200,1.1825762508503128e-06,1.697872037990864e-06
0.0,SIMULATION_00_40,PIDNN_400,7.247666502507855e-07,9.478142894764965e-07
0.0,SIMULATION_00_40,PIDNN_800,1.7688175759644764e-06,2.766778461640718e-06
0.05,SIMULATION_00_03,FF_200,0.0009251310063215333,0.0011046232010185153
0.05,SIMULATION_00_03,FF_400,0.005605756615598933,0.0055921701820100455
0.05,SIMULATION_00_03,FF_800,0.0009909936537344666,0.00019853931321281142
0.05,SIMULATION_00_03,FF_1600,0.0007308777906775999,0.0002882823734064472
0.05,SIMULATION_00_03,PIDNN_200,0.0002524558027895333,0.00020138019137897468
0.05,SIMULATION_00_03,PIDNN_400,8.03590482973852e-05,2.300964062973462e-05
0.05,SIMULATION_00_03,PIDNN_800,4.355545146002745e-05,2.7996466514269992e-06
0.05,SIMULATION_00_10,FF_200,0.00034887516812883335,0.00012863798963115347
0.05,SIMULATION_00_10,FF_400,0.0013691634133768333,0.0006606872900789381
0.05,SIMULATION_00_10,FF_800,0.0006575042692322999,0.0003226677895978581
0.05,SIMULATION_00_10,FF_1600,0.0006503284773012667,0.00030248605080628694
0.05,SIMULATION_00_10,PIDNN_200,0.0002100219086666,7.485957640017474e-05
0.05,SIMULATION_00_10,PIDNN_400,8.842166668424763e-05,2.5039304852726805e-05
0.05,SIMULATION_00_10,PIDNN_800,3.9373081866263725e-05,8.64054394085532e-06
0.05,SIMULATION_10_20,FF_200,0.00028897399897683337,0.00015936806175441642
0.05,SIMULATION_10_20,FF_400,0.0008745933106789333,0.0002574837543571886
0.05,SIMULATION_10_20,FF_800,0.0006716348289045666,0.0005988432897973978
0.05,SIMULATION_10_20,FF_1600,0.0004161569425680333,1.1283875209295243e-05
0.05,SIMULATION_10_20,PIDNN_200,0.00030492319395603333,0.0001284710279861954
0.05,SIMULATION_10_20,PIDNN_400,0.00012065452756353333,1.882004425335198e-05
0.05,SIMULATION_10_20,PIDNN_800,5.280188997858204e-05,1.6874459964625796e-05
0.05,SIMULATION_00_20,FF_200,0.0005394625623011334,0.0004333031871227884
0.05,SIMULATION_00_20,FF_400,0.0017602287892562333,0.0019361370178575751
0.05,SIMULATION_00_20,FF_800,0.0007706550143969333,0.0002350962103532293
0.05,SIMULATION_00_20,FF_1600,0.00045270923874336663,0.00023471559745097742
0.05,SIMULATION_00_20,PIDNN_200,0.00037811959433986666,0.00011509172054694329
0.05,SIMULATION_00_20,PIDNN_400,0.00014879582886345567,6.686475781287482e-05
0.05,SIMULATION_00_20,PIDNN_800,7.120187729014194e-05,3.474685047760672e-05
0.05,SIMULATION_00_40,FF_200,0.00040438463656752334,0.0006337926007112487
0.05,SIMULATION_00_40,FF_400,0.0002044515082767333,6.741206274077142e-05
0.05,SIMULATION_00_40,FF_800,0.0001332318594601,4.423417507449386e-05
0.05,SIMULATION_00_40,FF_1600,0.00015208854650454633,0.00010451603449078717
0.05,SIMULATION_00_40,PIDNN_200,5.111252539791167e-05,3.965794097434412e-06
0.05,SIMULATION_00_40,PIDNN_400,3.2590583335453026e-05,8.220490031293168e-06
0.05,SIMULATION_00_40,PIDNN_800,1.2057657083156906e-05,5.721405517675787e-06
0.1,SIMULATION_00_03,FF_200,0.0010472272600357331,0.0003494481965049282
0.1,SIMULATION_00_03,FF_400,0.0073071035246054005,0.002513577133803015
0.1,SIMULATION_00_03,FF_800,0.003524111273388033,0.0011701032006914776
0.1,SIMULATION_00_03,FF_1600,0.0019333893821263666,0.0008573290870330172
